NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
25,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,SANTO STEFANO DI SESSANIO,57,54,111
26,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,SCOPPITO,1652,1633,3285
27,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,TORNIMPARTE,1549,1547,3096
28,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,VILLA SANT'ANGELO,204,221,425
29,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,VILLA SANTA LUCIA DEGLI ABRUZZI,67,74,141
1,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,BUCCHIANICO,2562,2659,5221
2,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,CAPPELLE SUL TAVO,1938,2021,3959
3,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,FRANCAVILLA AL MARE,11403,12413,23816
4,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,MIGLIANICO,2394,2450,4844
5,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,MONTESILVANO,24391,26022,50413
6,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,PIANELLA,4130,4307,8437
7,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,SPOLTORE,9121,9445,18566
8,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,TORREVECCHIA TEATINA,2024,2068,4092
1,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,ALBA ADRIATICA,5495,6070,11565
2,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,ANCARANO,912,965,1877
3,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,CIVITELLA DEL TRONTO,2595,2738,5333
4,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,COLONNELLA,1861,1907,3768
5,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,CONTROGUERRA,1186,1236,2422
6,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,CORROPOLI,2315,2435,4750
7,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,MARTINSICURO,7607,7877,15484
8,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,NERETO,2484,2591,5075
9,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,SANT'EGIDIO ALLA VIBRATA,4787,4881,9668
10,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,SANT'OMERO,2598,2715,5313
