nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
1, , , , , ,,AVELLA,3823,3965,7788
2, , , , , ,,BAIANO,2318,2412,4730
3, , , , , ,,MUGNANO DEL CARDINALE,2653,2659,5312
4, , , , , ,,QUADRELLE,936,957,1893
5, , , , , ,,SIRIGNANO,1444,1434,2878
6, , , , , ,,SPERONE,1768,1887,3655
0,4150086020,CAMPANIA,AVELLINO,UNIONE DEI COMUNI MEDIO CALORE,1-Gen-2009,3,,2992,3275,6267
1, , , , , ,,PIETRADEFUSI,1120,1255,2375
2, , , , , ,,TORRE LE NOCELLE,660,700,1360
3, , , , , ,,VENTICANO,1212,1320,2532
0,4150116010,CAMPANIA,BENEVENTO,SANTI SANNITI,1-Gen-2002,3,,5794,6206,12000
1, , , , , ,,SAN GIORGIO DEL SANNIO,4694,5115,9809
2, , , , , ,,SAN MARTINO SANNITA,632,645,1277
3, , , , , ,,SAN NAZZARO,468,446,914
0,4150206010,CAMPANIA,CASERTA,ATELLA,1-Gen-2002,6,,40667,41116,81783
1, , , , , ,,CESA,4207,4289,8496
2, , , , , ,,FRATTAMINORE,7755,7953,15708
3, , , , , ,,GRICIGNANO DI AVERSA,5240,5319,10559
4, , , , , ,,ORTA DI ATELLA,12445,12351,24796
5, , , , , ,,SANT'ARPINO,6985,7091,14076
6, , , , , ,,SUCCIVO,4035,4113,8148
0,4150206040,CAMPANIA,CASERTA,MONTI TREBULANI,1-Gen-2003,3,,2096,2323,4419
1, , , , , ,,FORMICOLA,692,812,1504
2, , , , , ,,LIBERI,539,618,1157
3, , , , , ,,PONTELATONE,865,893,1758
0,4150206060,CAMPANIA,CASERTA,UNIONE DEI COMUNI AGRO UNITO,1-Gen-2006,3,,13652,13790,27442
1, , , , , ,,FRIGNANO,4334,4399,8733
2, , , , , ,,SAN MARCELLINO,6286,6357,12643
3, , , , , ,,VILLA DI BRIANO,3032,3034,6066
0,4150516020,CAMPANIA,NAPOLI,UNIONE DEI COMUNI DI TRECASE - BOSCOREALE - BOSCOTRECASE,1-Gen-2005,3,,22934,24057,46991
1, , , , , ,,BOSCOREALE,13407,14050,27457
2, , , , , ,,BOSCOTRECASE,5026,5390,10416
3, , , , , ,,TRECASE,4501,4617,9118
0,4150726020,CAMPANIA,SALERNO,ALTO CALORE,1-Gen-2003,6,,3316,3620,6936
1, , , , , ,,CAMPORA,224,237,461
2, , , , , ,,CASTEL SAN LORENZO,1253,1379,2632
3, , , , , ,,FELITTO,597,699,1296
4, , , , , ,,LAURINO,840,868,1708
5, , , , , ,,SACCO,273,286,559
6, , , , , ,,VALLE DELL'ANGELO,129,151,280
0,4150726050,CAMPANIA,SALERNO,DELL'IRNO,1-Gen-2009,4,,30983,32100,63083
1, , , , , ,,BARONISSI,8242,8548,16790
2, , , , , ,,FISCIANO,6793,6884,13677
3, , , , , ,,MERCATO SAN SEVERINO,10779,11257,22036
4, , , , , ,,PELLEZZANO,5169,5411,10580
0,4150726010,CAMPANIA,SALERNO,"SANT'ARSENIO, SAN RUFO, SAN PIETRO AL TANAGRO",1-Gen-2002,3,,2997,3216,6213
1, , , , , ,,SAN PIETRO AL TANAGRO,837,900,1737
2, , , , , ,,SAN RUFO,838,891,1729
3, , , , , ,,SANT'ARSENIO,1322,1425,2747
0,4150726040,CAMPANIA,SALERNO,UNIONE DEI COMUNI ALTO CILENTO,1-Gen-2004,5,,2913,3027,5940
1, , , , , ,,LAUREANA CILENTO,563,588,1151
2, , , , , ,,LUSTRA,546,554,1100
3, , , , , ,,PRIGNANO CILENTO,494,503,997
4, , , , , ,,RUTINO,443,446,889
5, , , , , ,,TORCHIARA,867,936,1803
0,4150726070,CAMPANIA,SALERNO,UNIONE DEI COMUNI VELINI,3-Ott-2011,3,,4049,4267,8316
1, , , , , ,,CASAL VELINO,2417,2521,4938
2, , , , , ,,POLLICA,1132,1261,2393
3, , , , , ,,SAN MAURO CILENTO,500,485,985
0,4150726080,CAMPANIA,SALERNO,UNIONE TERRE DELL'AGRO,20-Apr-2013,3,,10556,10905,21461
1, , , , , ,,CORBARA,1240,1281,2521
2, , , , , ,,SAN MARZANO SUL SARNO,5030,5195,10225
3, , , , , ,,SANT'EGIDIO DEL MONTE ALBINO,4286,4429,8715
0,4150726060,CAMPANIA,SALERNO,VALLE DELL'ALENTO,1-Gen-2011,9,,6642,7043,13685
1, , , , , ,,CASTELNUOVO CILENTO,1260,1338,2598
2, , , , , ,,GIOI,618,721,1339
3, , , , , ,,MOIO DELLA CIVITELLA,899,957,1856
4, , , , , ,,OMIGNANO,785,794,1579
5, , , , , ,,ORRIA,564,597,1161
6, , , , , ,,PERITO,501,506,1007
7, , , , , ,,SALENTO,984,1021,2005
8, , , , , ,,SESSA CILENTO,653,713,1366
9, , , , , ,,STELLA CILENTO,378,396,774
